cell,drug,res
FU-OV-1,1401,4.379652
FU-OV-1,2907,5.727402
FU-OV-1,3385,7.092288
FU-OV-1,5311,2.032552
FU-OV-1,5394,7.952135
FU-OV-1,6253,4.8162
FU-OV-1,24360,2.750086
FU-OV-1,36314,-0.629025
FU-OV-1,41867,0.89173
FU-OV-1,60750,6.921125
FU-OV-1,60838,5.860191
FU-OV-1,84691,4.963439
FU-OV-1,104741,4.3603
FU-OV-1,104842,-1.029387
FU-OV-1,123631,4.956483
FU-OV-1,126565,1.847039
FU-OV-1,126941,3.499454
FU-OV-1,148124,-2.520157
FU-OV-1,156422,6.575419
FU-OV-1,176158,5.378256
FU-OV-1,176870,4.11759
FU-OV-1,208908,3.601284
FU-OV-1,216239,4.326199
FU-OV-1,216326,6.271061
FU-OV-1,227681,6.405714
FU-OV-1,387447,-3.267925
FU-OV-1,462382,-1.235874
FU-OV-1,644241,3.40319
FU-OV-1,992586,2.686096
FU-OV-1,2733526,4.534573
FU-OV-1,2984337,3.991759
FU-OV-1,3062316,-0.649355
FU-OV-1,5278396,5.390366
FU-OV-1,5310940,6.487521
FU-OV-1,5311497,0.478906
FU-OV-1,5328940,3.32129
FU-OV-1,5330286,6.288384
FU-OV-1,5384616,-0.913329
FU-OV-1,5460769,7.023753
FU-OV-1,6450551,5.69591
FU-OV-1,6505803,1.090014
FU-OV-1,6710780,1.096477
FU-OV-1,6914657,1.742848
FU-OV-1,6918289,2.406846
FU-OV-1,9825149,2.809581
FU-OV-1,9826528,0.907246
FU-OV-1,9927531,6.583505
FU-OV-1,9931953,5.336728
FU-OV-1,9933475,2.480072
FU-OV-1,9943465,3.868064
FU-OV-1,10096043,-0.91852
FU-OV-1,10127622,3.920092
FU-OV-1,10184653,2.240874
FU-OV-1,10384072,3.033334
FU-OV-1,10385095,1.067467
FU-OV-1,10390396,2.235852
FU-OV-1,11152667,1.56454
FU-OV-1,11178236,-6.010272
FU-OV-1,11228183,3.602948
FU-OV-1,11364421,1.477874
FU-OV-1,11404337,0.041123
FU-OV-1,11433190,6.009167
FU-OV-1,11455910,1.920463
FU-OV-1,11488320,3.116251
FU-OV-1,11609586,5.555815
FU-OV-1,11624601,6.637738
FU-OV-1,11626560,4.634557
FU-OV-1,11634725,2.614411
FU-OV-1,11640390,3.64995
FU-OV-1,11667893,6.637738
FU-OV-1,11707110,0.559991
FU-OV-1,11719003,1.838364
FU-OV-1,11960529,6.308925
FU-OV-1,11977753,0.766588
FU-OV-1,16224745,5.01076
FU-OV-1,16241412,3.471733
FU-OV-1,16720766,3.793461
FU-OV-1,17755052,0.899529
FU-OV-1,23725625,5.069145
FU-OV-1,24180719,6.61623
FU-OV-1,24771867,1.703861
FU-OV-1,24776445,6.299146
FU-OV-1,24788740,4.527133
FU-OV-1,24856436,1.595136
FU-OV-1,24866313,2.875179
FU-OV-1,24978538,2.065319
FU-OV-1,25124816,5.583664
FU-OV-1,25227436,3.512983
FU-OV-1,25227847,5.237436
FU-OV-1,25262965,2.372612
FU-OV-1,42642645,1.820888
FU-OV-1,44182295,3.843803
FU-OV-1,44224160,2.827333
FU-OV-1,44450571,6.551156
FU-OV-1,44462760,5.430404
FU-OV-1,44631912,4.926087
FU-OV-1,44632017,5.510254
FU-OV-1,44819241,5.249469
FU-OV-1,46843057,4.979278
FU-OV-1,46883536,6.060861
FU-OV-1,46907787,0.380829
FU-OV-1,46926973,5.874292
FU-OV-1,46930998,4.110422
FU-OV-1,46931953,6.021979
FU-OV-1,49846579,2.95462
FU-OV-1,51000408,4.24583
FU-OV-1,51001932,1.723287
FU-OV-1,51039095,2.996861
FU-OV-1,51042438,6.240031
FU-OV-1,52913813,3.295996
FU-OV-1,54761306,3.483551
FU-OV-1,56645356,5.265773
FU-OV-1,56649450,4.432505
FU-OV-1,56941241,5.566975
FU-OV-1,56962336,6.50674
FU-OV-1,56962337,2.372463
FU-OV-1,57345410,6.120561
FU-OV-1,66577015,1.873235
FU-OV-1,68107965,4.715391
FU-OV-1,68289010,3.394384
FU-OV-1,68947304,6.137682
FU-OV-1,70676303,1.37815
FU-OV-1,70983932,6.637738
FU-OV-1,71271629,2.976308
FU-OV-1,71297207,3.27214
FU-OV-1,71496458,1.332924
FU-OV-1,78209992,2.449347
FU-OV-1,91663328,3.03457
FU-OV-1,91668541,4.046694
FU-OV-1,117072552,5.126036
FU-OV-1,118704762,7.052476
HCC38,1018,6.034843
HCC38,1401,4.402586
HCC38,2907,6.055244
HCC38,3385,4.109546
