cell,drug,res
JIMT-1,31703,0.0
JIMT-1,36462,0.0
JIMT-1,60750,0.0
JIMT-1,5311497,0.0
JIMT-1,5459322,0.0
JIMT-1,2375,0.0
JIMT-1,4263900,0.0
JIMT-1,44551660,0.0
JIMT-1,9956119,0.0
JIMT-1,44137675,0.0
JIMT-1,25222038,0.0
JIMT-1,11713159,0.0
JIMT-1,46907787,0.0
JIMT-1,560326,0.0
JIMT-1,3005532,0.0
JIMT-1,10027278,0.0
JIMT-1,5208,0.0
JIMT-1,10196499,0.0
JIMT-1,3218,0.0
JIMT-1,3463933,0.0
JIMT-1,6753378,0.0
JIMT-1,521106,0.0
JIMT-1,3385,0.0
JIMT-1,446378,0.0
JIMT-1,11404337,0.0
JIMT-1,24785538,0.0
JIMT-1,82146,0.0
JIMT-1,54676905,0.0
JIMT-1,11617559,0.0
JIMT-1,8249,0.0
JIMT-1,5280757,0.0
JIMT-1,10113978,0.0
JIMT-1,448013,0.0
JIMT-1,9926054,0.0
JIMT-1,159324,1.0
JIMT-1,25126798,0.0
JIMT-1,10109823,0.0
JIMT-1,11338033,0.0
JIMT-1,9952773,0.0
JIMT-1,11754511,0.0
JIMT-1,11647372,0.0
JIMT-1,5289247,0.0
JIMT-1,46885626,0.0
JIMT-1,11373846,0.0
JIMT-1,46224516,0.0
JIMT-1,9874913,0.0
JIMT-1,704473,0.0
JIMT-1,53340664,0.0
JIMT-1,11634725,0.0
JIMT-1,11493598,0.0
JIMT-1,53394750,0.0
JIMT-1,42640,0.0
JIMT-1,24894414,0.0
JIMT-1,6918848,0.0
JIMT-1,24756910,0.0
JIMT-1,24951314,0.0
JIMT-1,46931012,0.0
JIMT-1,56965967,0.0
JIMT-1,10451420,0.0
JIMT-1,44143370,0.0
JIMT-1,10074640,0.0
JIMT-1,25195352,0.0
JIMT-1,16747388,0.0
JIMT-1,9868037,0.0
JIMT-1,44224160,0.0
JIMT-1,25257557,0.0
JIMT-1,46191454,0.0
JIMT-1,9884685,0.0
JIMT-1,6852167,0.0
JIMT-1,9967941,0.0
JIMT-1,9903786,0.0
JIMT-1,9810884,0.0
JIMT-1,9956222,0.0
JIMT-1,16725726,0.0
JIMT-1,24772860,0.0
JIMT-1,447912,0.0
JIMT-1,66577006,0.0
JIMT-1,24360,0.0
JIMT-1,6710780,0.0
JIMT-1,84691,0.0
JIMT-1,6253,0.0
JIMT-1,148124,1.0
JIMT-1,126941,0.0
JIMT-1,123631,0.0
JIMT-1,5311,0.0
JIMT-1,6918454,0.0
JIMT-1,6918289,1.0
JIMT-1,23725625,0.0
JIMT-1,5328940,0.0
JIMT-1,216326,0.0
JIMT-1,6450551,0.0
JIMT-1,11152667,0.0
JIMT-1,10341154,0.0
JIMT-1,5278396,0.0
JIMT-1,300471,0.0
JIMT-1,10184653,0.0
JIMT-1,24776445,0.0
JIMT-1,11624601,0.0
JIMT-1,44450571,1.0
JIMT-1,46930998,0.0
JIMT-1,25262965,0.0
JIMT-1,11316960,1.0
JIMT-1,2314623,0.0
JIMT-1,85668777,0.0
JIMT-1,51371303,0.0
JIMT-1,11455910,0.0
JIMT-1,46843772,0.0
JIMT-1,2733526,0.0
JIMT-1,71271629,0.0
JIMT-1,54685215,0.0
JIMT-1,9863776,0.0
JIMT-1,57339144,0.0
JIMT-1,56962337,0.0
JIMT-1,11707110,0.0
JIMT-1,44462760,0.0
JIMT-1,5394,0.0
JIMT-1,5460769,0.0
JIMT-1,104842,0.0
SW756,31703,0.0
SW756,36462,0.0
SW756,60750,0.0
SW756,5311497,0.0
SW756,5459322,1.0
SW756,2375,0.0
SW756,4263900,0.0
SW756,44551660,0.0
SW756,9956119,0.0
SW756,44137675,0.0
SW756,25222038,0.0
SW756,11713159,0.0
SW756,46907787,0.0
SW756,560326,0.0
SW756,3005532,0.0
SW756,10027278,0.0
SW756,5208,0.0
SW756,10196499,0.0
SW756,3218,0.0
SW756,3463933,0.0
SW756,6753378,0.0
SW756,521106,0.0
SW756,3385,0.0
SW756,446378,0.0
SW756,11404337,0.0
SW756,24785538,0.0
SW756,82146,0.0
SW756,54676905,0.0
SW756,11617559,0.0
SW756,8249,0.0
SW756,5280757,0.0
SW756,10113978,0.0
SW756,448013,0.0
SW756,9926054,0.0
SW756,159324,0.0
SW756,25126798,0.0
SW756,10109823,0.0
SW756,11338033,0.0
SW756,9952773,0.0
SW756,11754511,0.0
SW756,11647372,0.0
SW756,5289247,0.0
SW756,46885626,0.0
SW756,11373846,0.0
SW756,46224516,0.0
SW756,9874913,0.0
SW756,704473,0.0
SW756,53340664,0.0
SW756,11634725,0.0
SW756,11493598,0.0
SW756,53394750,0.0
SW756,42640,0.0
SW756,24894414,0.0
SW756,6918848,0.0
SW756,24756910,0.0
SW756,24951314,0.0
SW756,46931012,0.0
SW756,56965967,0.0
SW756,10451420,0.0
SW756,44143370,0.0
SW756,10074640,0.0
SW756,25195352,0.0
SW756,16747388,0.0
SW756,9868037,0.0
SW756,44224160,0.0
SW756,25257557,0.0
SW756,46191454,0.0
SW756,9884685,0.0
SW756,6852167,0.0
SW756,9967941,0.0
SW756,9903786,0.0
SW756,9810884,0.0
SW756,9956222,0.0
SW756,16725726,0.0
SW756,24772860,0.0
SW756,447912,0.0
SW756,66577006,0.0
SW756,24360,0.0
SW756,6710780,0.0
SW756,84691,0.0
SW756,6253,0.0
SW756,148124,0.0
SW756,126941,0.0
SW756,123631,0.0
SW756,5311,0.0
SW756,644241,0.0
SW756,6918454,0.0
SW756,6918289,0.0
SW756,23725625,0.0
SW756,5328940,1.0
SW756,216326,0.0
SW756,11152667,1.0
