cell,drug,res
TCGA-EE-A2GS,44462760,0.0
TCGA-EE-A2GS,42611257,0.0
TCGA-BR-6457,3385,1.0
TCGA-BR-6457,135403648,1.0
TCGA-S9-A6U1,5394,0.0
TCGA-EO-A3KU,10339178,1.0
TCGA-EO-A3KU,36314,1.0
TCGA-BA-A6DL,10339178,1.0
TCGA-BA-A6DL,208908,1.0
TCGA-BA-A6DL,36314,1.0
TCGA-VQ-A8DT,3385,1.0
TCGA-AC-A3YI,2907,1.0
TCGA-AC-A3YI,3385,1.0
TCGA-AC-A3YI,126941,1.0
TCGA-NH-A6GB,3385,0.0
TCGA-NH-A6GB,135403648,0.0
TCGA-NH-A6GB,9887053,0.0
TCGA-HZ-7920,3385,1.0
TCGA-NH-A8F7,3385,1.0
TCGA-NH-A8F7,9887053,1.0
TCGA-VS-A94Y,5460033,0.0
TCGA-VQ-A91E,3385,1.0
TCGA-N5-A4RV,36314,1.0
TCGA-E9-A6HE,2907,1.0
TCGA-E9-A6HE,31703,1.0
TCGA-E9-A6HE,36314,1.0
TCGA-FJ-A871,5460033,0.0
TCGA-FJ-A871,31703,0.0
TCGA-FJ-A871,60750,0.0
TCGA-FJ-A871,126941,0.0
TCGA-FJ-A871,13342,0.0
TCGA-MZ-A5BI,5460033,1.0
TCGA-GV-A3JW,10339178,1.0
TCGA-GV-A3JW,60750,1.0
TCGA-H8-A6C1,60750,1.0
TCGA-L9-A743,5460033,1.0
TCGA-L9-A743,148124,1.0
TCGA-S9-A7IX,5394,0.0
TCGA-85-8351,5460033,1.0
TCGA-85-8351,36462,1.0
TCGA-AC-A2FB,2187,1.0
TCGA-AC-A2FB,148124,1.0
TCGA-BR-A4J8,60953,1.0
TCGA-FB-A545,3385,1.0
TCGA-FB-A545,60750,1.0
TCGA-EW-A2FR,36314,0.0
TCGA-EB-A5FP,10339178,0.0
TCGA-EB-A5FP,135398738,0.0
TCGA-GM-A2DL,2733526,1.0
TCGA-D7-6520,5460033,0.0
TCGA-QH-A6X4,5394,0.0
TCGA-E9-A3Q9,2907,1.0
TCGA-E9-A3Q9,3385,1.0
TCGA-E9-A3Q9,4212,1.0
TCGA-CN-A6V7,5460033,1.0
TCGA-AA-A01R,3385,1.0
TCGA-AA-A01R,60838,1.0
TCGA-AA-A01R,135403648,1.0
TCGA-3A-A9IX,3385,1.0
TCGA-3A-A9IX,60750,1.0
TCGA-HU-8238,3045,0.0
TCGA-HU-A4H4,54715158,1.0
TCGA-HD-8314,5460033,1.0
TCGA-YL-A8SC,2375,1.0
TCGA-YL-A8SC,25074469,1.0
TCGA-2G-AAFZ,5360373,1.0
TCGA-2G-AAFZ,5460033,1.0
TCGA-2G-AAFZ,36462,1.0
TCGA-ZG-A8QZ,2375,1.0
TCGA-EY-A3L3,10339178,1.0
TCGA-EY-A3L3,36314,1.0
TCGA-43-A56V,10339178,1.0
TCGA-43-A56V,148124,1.0
TCGA-TN-A7HL,5460033,1.0
TCGA-FD-A43S,5460033,1.0
TCGA-FD-A43S,60750,1.0
TCGA-IB-7885,60750,1.0
TCGA-XK-AAIV,2375,1.0
TCGA-YL-A8SL,2375,1.0
TCGA-XE-AAOD,5360373,1.0
TCGA-XE-AAOD,5460033,1.0
TCGA-XE-AAOD,36462,1.0
TCGA-IE-A3OV,135398738,0.0
TCGA-IE-A3OV,148124,0.0
TCGA-IE-A3OV,31703,0.0
TCGA-IE-A3OV,60750,0.0
TCGA-IE-A3OV,135410875,0.0
TCGA-IE-A3OV,108150,0.0
TCGA-IE-A3OV,11520894,0.0
TCGA-QH-A6XC,5394,0.0
TCGA-D7-A747,60953,0.0
TCGA-D7-A747,5460033,0.0
TCGA-D7-A747,41867,0.0
TCGA-2G-AAF1,10339178,1.0
TCGA-58-8391,10339178,1.0
TCGA-58-8391,60750,1.0
TCGA-13-A5FT,5460033,1.0
TCGA-13-A5FT,36314,1.0
TCGA-MO-A47P,31703,1.0
TCGA-53-7624,10339178,0.0
TCGA-53-7624,5460033,0.0
TCGA-53-7624,148124,0.0
TCGA-53-7624,176870,0.0
TCGA-53-7624,60750,0.0
TCGA-53-7624,60838,0.0
TCGA-53-7624,36314,0.0
TCGA-53-7624,135410875,0.0
TCGA-53-7624,5311497,0.0
TCGA-FJ-A3Z7,5460033,1.0
TCGA-FJ-A3Z7,60750,1.0
TCGA-C5-A1M6,5360373,0.0
TCGA-C5-A1M6,5754,0.0
TCGA-C5-A1M6,5746,0.0
TCGA-C5-A1M6,5978,0.0
TCGA-AG-A01N,9887053,1.0
TCGA-HW-A5KJ,5394,0.0
TCGA-IB-A5SS,60750,1.0
TCGA-A6-A566,3385,0.0
TCGA-A6-A566,135403648,0.0
TCGA-A6-A566,9887053,0.0
TCGA-B7-A5TI,9887053,1.0
TCGA-AJ-A2QL,5460033,1.0
TCGA-AJ-A2QL,31703,1.0
TCGA-AJ-A2QL,36314,1.0
TCGA-SY-A9G5,5460033,1.0
TCGA-SY-A9G5,60750,1.0
TCGA-AA-3973,3385,0.0
TCGA-AA-3973,60838,0.0
TCGA-AA-3973,135403648,0.0
TCGA-VS-A9UH,5460033,1.0
TCGA-B0-5694,10113978,0.0
TCGA-AZ-6605,135659064,0.0
TCGA-DX-AB3C,31703,1.0
TCGA-DX-AB3C,36462,1.0
TCGA-3B-A9I0,148124,0.0
TCGA-3B-A9I0,31703,0.0
TCGA-3B-A9I0,60750,0.0
TCGA-AG-A016,3385,0.0
TCGA-AG-A016,135403648,0.0
TCGA-BW-A5NP,216239,0.0
TCGA-S3-A6ZF,2907,1.0
TCGA-S3-A6ZF,148124,1.0
TCGA-WH-A86K,5394,0.0
TCGA-Z7-A8R6,2907,1.0
TCGA-Z7-A8R6,31703,1.0
TCGA-Z7-A8R6,36314,1.0
TCGA-IB-AAUO,60750,0.0
TCGA-LP-A4AU,5460033,1.0
TCGA-LP-A4AU,3385,1.0
TCGA-DX-A6B7,148124,1.0
TCGA-DX-A6B7,60750,1.0
TCGA-S9-A6TW,5394,0.0
TCGA-BC-A8YO,216239,1.0
TCGA-DD-A1EK,216239,0.0
TCGA-AJ-A3I9,10339178,0.0
TCGA-AJ-A3I9,36314,0.0
TCGA-91-6848,5460033,1.0
TCGA-91-6848,148124,1.0
TCGA-UD-AAC6,10339178,0.0
TCGA-UD-AAC6,135410875,0.0
TCGA-05-4432,5460033,1.0
TCGA-05-4432,5311497,1.0
TCGA-DS-A7WF,5460033,1.0
TCGA-G6-A5PC,5329102,0.0
TCGA-FI-A2EU,10339178,1.0
TCGA-FI-A2EU,36314,1.0
